"Edit","Cut","Ctrl+W","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Window","Toggle Split Editor (Vertical)","Ctrl+X 3","In Windows","org.eclipse.ui.window.splitEditor"
"Text Editing","Line Start","Ctrl+A","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Text Editing","Zoom Out","Ctrl+-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"SQL Editor","Toggle Line Comment","Ctrl+X Ctrl+;","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.single"
"Edit","Undo","Ctrl+/","In Windows","org.eclipse.ui.edit.undo"
"Utility","Advanced Copy","Shift+Ctrl+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special"
"File","Save All","Ctrl+X S","In Windows","org.eclipse.ui.file.saveAll"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef3.zoom_out"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Text Editing","Text Start","Shift+Alt+<","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Result Set","Reset cell changes","Esc","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.reset"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows","org.eclipse.ui.navigate.openResource"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Window","Quick Switch Editor","Ctrl+X B","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Result Set","Columns width: fit screen","Ctrl+L D","Database navigator view context","org.jkiss.dbeaver.core.resultset.grid.columnsFitScreen"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Edit","Content Assist","Ctrl+,","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Text Editing","Previous Word","Alt+B","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Text Editing","Line Up","Ctrl+P","Editing Text","org.eclipse.ui.edit.text.goto.lineUp"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Text Editing","Cut to End of Line","Alt+K","Editing Text","org.eclipse.ui.edit.text.cut.line.to.end"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Text Editing","Join Lines","Ctrl+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Text Editing","Line End","End","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Edit","Toggle Word Wrap","Ctrl+X Ctrl+W","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Text Editing","To Upper Case","Ctrl+L U","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Text Editing","Line Down","Ctrl+N","Editing Text","org.eclipse.ui.edit.text.goto.lineDown"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Navigate","Go to Line","Ctrl+X G","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Edit","Incremental Find","Ctrl+S","Editing Text","org.eclipse.ui.edit.findIncremental"
"Text Editing","Scroll Line Down","Alt+N","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Window","Maximize Active View or Editor","Shift+Ctrl+Z","In Windows","org.eclipse.ui.window.maximizePart"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Text Editing","Move Lines Up","Alt+Up","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Edit","Find and Replace","Alt+R","In Windows","org.eclipse.ui.edit.findReplace"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Text Editing","Set Mark","Ctrl+Space","Editing Text","org.eclipse.ui.edit.text.set.mark"
"Text Editing","Scroll Line Up","Alt+P","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Window","Switch to Editor","Alt+0","In Windows","org.eclipse.ui.window.switchToEditor"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Result Set","Last row","End","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
